gene Fam Hos Lab Res Wild
Pame_00947.t1 2.57072095155319 3.21975552251744 2.13424961723019 2.88611775868074 3.1595535237032
Pame_00948.t1 4.04731072093877 4.60397527026623 3.78331693009809 4.60930510942792 5.35285320270539
Pame_00949.t1 4.3947036807506 4.81112798007826 3.85688351736072 4.52180660058594 3.89007638305454
Pame_00950.t1 12.8197444176232 13.0474957417655 12.4833414995855 12.8758883603714 12.5197041094557
Pame_00951.t1 1.54216162532367 2.05915247533768 1.39385896610089 1.80723290436196 1.79281775692978
Pame_00953.t1 2.73281577656723 3.1159799491485 2.39014938828238 2.87741617359834 2.23297164657842
Pame_00958.t1 4.22055590698272 4.46767702950127 3.59871782175206 4.25969396403202 3.45979793474068
Pame_00959.t1 2.13843695551128 2.19692401095845 1.33018241138797 2.04173388882683 1.69022286190908
Pame_00964.t1 4.04745177770388 4.51352262262598 3.82991169567089 4.21931260757908 4.02071471586711
Pame_00967.t1 2.32856664245476 2.8696467650827 2.00894543173964 2.49832584233756 2.68931121580578
Pame_00968.t1 7.63269516249125 5.07341205073283 7.97778654919448 6.87500086981482 6.47903106816607
Pame_00971.t1 11.5701692209352 9.47138042107542 11.988505921676 10.9799410713569 10.4384060133368
Pame_00972.t1 9.79125528329857 8.77693471341811 10.3341686738494 9.9692424969598 7.96249327818078
Pame_00975.t1 2.91368409799416 3.2456049981293 2.5303499602849 3.10614111537416 2.59785805510941
Pame_00976.t3 1.65367338126837 1.71884227127652 1.33929233179761 1.78823379797756 1.53056330850132
Pame_00978.t1 4.15480340658927 4.49251682110271 3.49027936374805 4.48322301930383 4.06255604334644
Pame_00979.t1 2.38000513113511 2.61942892401362 2.23465266772071 2.45935163511332 2.54872239667217
Pame_00980.t1 4.84869329983382 5.12182725196328 4.94009887737882 5.00539879594974 4.47987992300374
Pame_00984.t1 2.84642111100967 3.60709203003384 2.51561884331785 3.17752041154856 2.57647825837869
Pame_00986.t1 3.45117951461964 4.00586468667958 3.31585750930417 4.07628169471616 2.86128107269936
